case_index,case_id,candidate_index,sample_index,case_kind,task_index,k,ratio,source_csv,worst_active_rl_db,total_rl_db,reflected_power_fraction,complete,complex_nmse,magnitude_rmse_db_visible40,complex_correlation,no_scale_pass
11,c003_combined,3,39,combined,-1,4,0.6000000238418579,D:\codex_workspace\hfss_ura16_quick_model\hfss_outputs\trusted_dense_joint_hfss_smoke_20260724_run01\sources\sources_c003_combined.csv,10.01654018317861,10.944394123090325,0.08045639840880132,1,2.006903757761913e-12,2.055546792689711e-05,1.0000001192092896,1
12,c003_t0,3,39,task,0,4,0.6000000238418579,D:\codex_workspace\hfss_ura16_quick_model\hfss_outputs\trusted_dense_joint_hfss_smoke_20260724_run01\sources\sources_c003_t0.csv,10.086581488629216,10.194218020464588,0.09562648621244342,1,3.887217370907026e-12,2.3411013899021782e-05,1.0,1
13,c003_t1,3,39,task,1,4,0.6000000238418579,D:\codex_workspace\hfss_ura16_quick_model\hfss_outputs\trusted_dense_joint_hfss_smoke_20260724_run01\sources\sources_c003_t1.csv,10.045654017129625,10.0028350027004,0.0999347429521139,1,2.936430395714118e-12,1.889685336209368e-05,0.9999997019767761,1
14,c003_t2,3,39,task,2,4,0.6000000238418579,D:\codex_workspace\hfss_ura16_quick_model\hfss_outputs\trusted_dense_joint_hfss_smoke_20260724_run01\sources\sources_c003_t2.csv,10.168430277396183,10.03469027839609,0.09920440853669142,1,3.141528920683201e-12,2.2087217075750232e-05,0.9999999403953552,1
15,c003_t3,3,39,task,3,4,0.6000000238418579,D:\codex_workspace\hfss_ura16_quick_model\hfss_outputs\trusted_dense_joint_hfss_smoke_20260724_run01\sources\sources_c003_t3.csv,10.107612772630763,10.121475959027181,0.09724166897350311,1,4.83604606013599e-12,2.16366934182588e-05,1.0000003576278687,1
16,c004_combined,4,21,combined,-1,2,0.6000000238418579,D:\codex_workspace\hfss_ura16_quick_model\hfss_outputs\trusted_dense_joint_hfss_smoke_20260724_run01\sources\sources_c004_combined.csv,10.039290425421676,11.15524811798915,0.07664347515146556,1,2.236046200629338e-12,2.0101080735912547e-05,0.9999997615814209,1
17,c004_t0,4,21,task,0,2,0.6000000238418579,D:\codex_workspace\hfss_ura16_quick_model\hfss_outputs\trusted_dense_joint_hfss_smoke_20260724_run01\sources\sources_c004_t0.csv,10.028348163032925,10.029596322957566,0.09932083629214074,1,2.5579232742350966e-12,1.8297931092092767e-05,0.9999995231628418,1
18,c004_t1,4,21,task,1,2,0.6000000238418579,D:\codex_workspace\hfss_ura16_quick_model\hfss_outputs\trusted_dense_joint_hfss_smoke_20260724_run01\sources\sources_c004_t1.csv,10.094751447448528,10.632073692480084,0.086455500786289,1,4.934254827643203e-12,2.3031976525089704e-05,0.9999998211860657,1
19,c005_combined,5,23,combined,-1,2,0.6000000238418579,D:\codex_workspace\hfss_ura16_quick_model\hfss_outputs\trusted_dense_joint_hfss_smoke_20260724_run01\sources\sources_c005_combined.csv,10.146188437922445,10.804637880329032,0.08308759951977408,1,4.095942768983507e-12,2.3347127353190444e-05,1.0,1
20,c005_t0,5,23,task,0,2,0.6000000238418579,D:\codex_workspace\hfss_ura16_quick_model\hfss_outputs\trusted_dense_joint_hfss_smoke_20260724_run01\sources\sources_c005_t0.csv,10.147515726144675,10.336560829847494,0.09254307307677445,1,4.57546197110692e-12,2.2515801902045496e-05,1.0,1
21,c005_t1,5,23,task,1,2,0.6000000238418579,D:\codex_workspace\hfss_ura16_quick_model\hfss_outputs\trusted_dense_joint_hfss_smoke_20260724_run01\sources\sources_c005_t1.csv,10.236687427305997,10.378236026216685,0.09165927069609925,1,5.222370279278632e-12,2.4290058718179353e-05,0.9999998807907104,1
22,c006_combined,6,60,combined,-1,6,0.699999988079071,D:\codex_workspace\hfss_ura16_quick_model\hfss_outputs\trusted_dense_joint_hfss_smoke_20260724_run01\sources\sources_c006_combined.csv,10.031650433741625,10.96667879553727,0.08004461506662397,1,2.606890181153232e-12,2.3310116375796497e-05,0.9999997019767761,1
23,c006_t0,6,60,task,0,6,0.699999988079071,D:\codex_workspace\hfss_ura16_quick_model\hfss_outputs\trusted_dense_joint_hfss_smoke_20260724_run01\sources\sources_c006_t0.csv,10.04813216132963,10.43582813005978,0.09045179441993592,1,4.967067122191304e-12,2.4771834432613105e-05,0.9999995827674866,1
24,c006_t1,6,60,task,1,6,0.699999988079071,D:\codex_workspace\hfss_ura16_quick_model\hfss_outputs\trusted_dense_joint_hfss_smoke_20260724_run01\sources\sources_c006_t1.csv,10.23154200504603,10.068511911254681,0.09843483301119671,1,5.049016760239056e-12,2.5501403797534294e-05,1.0000001192092896,1
25,c006_t2,6,60,task,2,6,0.699999988079071,D:\codex_workspace\hfss_ura16_quick_model\hfss_outputs\trusted_dense_joint_hfss_smoke_20260724_run01\sources\sources_c006_t2.csv,10.069756338302298,10.040182414933724,0.09907903282581298,1,3.252578545040463e-12,1.8945365809486248e-05,0.9999997615814209,1
26,c006_t3,6,60,task,3,6,0.699999988079071,D:\codex_workspace\hfss_ura16_quick_model\hfss_outputs\trusted_dense_joint_hfss_smoke_20260724_run01\sources\sources_c006_t3.csv,10.026488878249289,10.275237581704973,0.09385906894676255,1,4.05951531071147e-12,2.2023885321686976e-05,1.000000238418579,1
27,c006_t4,6,60,task,4,6,0.699999988079071,D:\codex_workspace\hfss_ura16_quick_model\hfss_outputs\trusted_dense_joint_hfss_smoke_20260724_run01\sources\sources_c006_t4.csv,10.094533699677715,10.074337137749627,0.09830289009307132,1,4.886896443068167e-12,2.139613206963986e-05,0.9999997019767761,1
28,c006_t5,6,60,task,5,6,0.699999988079071,D:\codex_workspace\hfss_ura16_quick_model\hfss_outputs\trusted_dense_joint_hfss_smoke_20260724_run01\sources\sources_c006_t5.csv,10.049759078052139,10.122889927101797,0.09721001436110088,1,4.789437509783445e-12,2.23721162910806e-05,0.9999996423721313,1
29,c007_combined,7,42,combined,-1,4,0.699999988079071,D:\codex_workspace\hfss_ura16_quick_model\hfss_outputs\trusted_dense_joint_hfss_smoke_20260724_run01\sources\sources_c007_combined.csv,10.116212266302313,11.38997163515686,0.07261106998276334,1,2.5513551774741794e-12,2.076608143397607e-05,0.9999995827674866,1
