candidate_index,sample_index,sample_id,k,ratio,large_scan,min_target_separation_deg,selected_config,baseline_combined_worst_active_rl_db,baseline_combined_total_rl_db,optimized_combined_worst_active_rl_db,optimized_combined_total_rl_db,optimized_combined_active_gate,optimized_all_tasks_significant_worst_active_rl_db,optimized_all_tasks_significant_gate,optimized_all_tasks_strict_worst_active_rl_db,optimized_all_tasks_strict_gate,target_response_error_max,nearest_bound_ratio_max,local_bound_ratio_max,constraint_pass,baseline_psll_db,optimized_psll_db,baseline_nearest_iso_db,optimized_nearest_iso_db,baseline_local_iso_db,optimized_local_iso_db,baseline_weakest_target_gain_db,optimized_weakest_target_gain_db,optimized_target_spread_db,optimized_pointing_error_deg,equal_weakest_gain_power_ratio,gate15,strict_gate20,mainlobe_gate,robust_active_RL_gate,strict_engineering_gate
46,46,tv046_s046_k4_r0.8,4,0.800000011920929,1,11.813552856445312,balanced30,3.896753012803631,11.972728740538795,10.17952817964767,12.526881152505487,1,10.006018371595431,1,10.006018371595431,1,2.2821068721676283e-16,0.9998976229671431,1.00000026441582,1,-5.6298079344979755,-5.107940673828125,25.169045957289136,26.022457122802734,14.921870161027869,14.477912902832031,78.0970925280478,78.25777435302734,2.9765701293945312,1.730243722984443,0.963677718196791,0,0,0,1,0
47,47,tv047_s047_k4_r0.8,4,0.800000011920929,1,39.343414306640625,combined20,5.187397375206774,12.314444591716851,10.580015416853023,13.399665111535583,1,10.0257803119352,1,10.0257803119352,1,4.0610455397665024e-16,0.9991459689816771,0.9999159229315691,1,-4.930288132170588,-4.126312255859375,26.839128735728366,25.88896942138672,19.715406027838142,19.49500274658203,78.31335915393132,78.6697998046875,1.3849868774414062,2.8268360708288816,0.9212042542392659,1,0,0,1,0
48,48,tv048_s048_k4_r0.9,4,0.8999999761581421,0,13.632284164428711,robust20,5.377950066929472,11.916958705621074,10.203832293908055,12.288390044167887,1,10.001615517616695,1,10.001615517616695,1,1.7280366070342443e-16,1.0000044864917286,0.9999865773119411,1,-10.501397935852594,-9.683868408203125,24.815133884755795,25.836284637451172,17.428076301274416,17.359634399414062,80.82247303253469,80.71208953857422,1.471221923828125,1.1703168677400844,1.0257424981334557,1,0,1,1,0
49,49,tv049_s049_k4_r0.9,4,0.8999999761581421,1,30.004592895507812,combined20,2.1747006938220856,13.10633426161406,10.267382744901326,13.880847540949548,1,10.030436509289931,1,10.030436509289931,1,8.355240242327641e-16,0.9991794985950682,0.999167001832652,1,-5.9075741857508035,-6.010063171386719,25.800515237972007,26.141742706298828,20.274022794044697,21.520477294921875,79.40848644970248,79.29544830322266,1.9349441528320312,1.3188517201753525,1.0263696813955927,1,1,1,1,1
50,50,tv050_s050_k4_r0.9,4,0.8999999761581421,1,16.084293365478516,combined20,3.5366034302654707,12.074771921545773,10.251748177364966,12.43470499023492,1,10.021441288946482,1,10.021441288946482,1,3.2271661139035494e-16,1.00009910390764,1.0000077340691476,1,-4.216205965626102,-4.1566314697265625,26.990466879444014,27.291980743408203,16.81676817319729,17.044448852539062,78.14317954364122,78.27981567382812,2.9124221801757812,2.904077063761827,0.9690281357479796,1,0,0,1,0
51,51,tv051_s051_k4_r1.0,4,1.0,0,19.107898712158203,robust20,3.8740632382060083,12.095163141720208,10.122152021921341,12.22370857891903,1,9.79727194711883,0,9.79727194711883,0,6.670003489263713e-16,0.9729961807830003,0.9726946739623881,1,-11.517920151017236,-11.941978454589844,24.714227706687325,25.745140075683594,16.87736143891827,16.819496154785156,82.10483418161283,82.15707397460938,0.40753936767578125,1.1279257230437434,0.9880433982334151,1,0,1,0,0
52,52,tv052_s052_k4_r1.0,4,1.0,1,28.844627380371094,robust20,2.873151476238642,13.46909911145355,10.178721003251837,14.003529411928588,1,9.671972945875119,0,9.671972945875119,0,6.550395244516796e-16,1.0000000000000002,0.9058683601222215,1,-6.6990532494430965,-6.145263671875,24.44869860320587,26.49142837524414,19.156308701530463,20.489822387695312,80.23668608029945,80.0868148803711,2.3082656860351562,2.1312306992707266,1.0351114675998587,1,1,0,0,0
53,53,tv053_s053_k4_r1.0,4,1.0,1,40.21367263793945,robust20,1.1069586410864514,12.228925308514697,10.017495238606532,13.305447736691123,1,8.21907170820095,0,8.21907170820095,0,3.9851600678142334e-16,0.9807464658504244,0.9939270216594798,1,-4.419468006615915,-3.5520477294921875,26.41148413689119,27.999279022216797,18.34417524993438,19.027847290039062,79.66900730268686,79.58289337158203,2.535491943359375,2.8423492746787966,1.0200263552126125,1,0,0,0,0
54,54,tv054_s054_k6_r0.5,6,0.5,1,27.88064956665039,balanced30,0.5370806391036165,10.47952697856255,10.143900496865834,11.308076459081827,1,10.006491625187138,1,10.006491625187138,1,6.502199166803856e-16,1.010320090534609,1.0038302418635416,1,-3.6342093975465133,-3.6708221435546875,22.979385434442165,25.401206970214844,12.160737106653528,13.32373046875,74.42822778652364,74.33011627197266,3.3246383666992188,2.5594857694099975,1.0228481204463011,0,0,0,1,0
55,55,tv055_s055_k6_r0.5,6,0.5,1,17.667423248291016,robust20,3.312386883770038,10.793017358521592,10.402774594699927,11.80737122133924,1,10.018652372557305,1,10.018652372557305,1,3.187693013196414e-16,1.0000021191782664,1.0000443137222699,1,-1.4804866832751031,-0.6715011596679688,21.759227193779623,25.298038482666016,14.621628731530706,15.031745910644531,75.08993289848856,75.02790069580078,3.1569976806640625,4.031996014416079,1.0143859383006724,1,0,0,1,0
56,56,tv056_s056_k6_r0.5,6,0.5,1,12.149877548217773,robust20,3.8976627613153165,10.619776426698506,10.19140538632599,11.160611381996176,1,10.022737235972228,1,10.022737235972228,1,7.472644142568736e-16,0.9990076130929895,1.0000022256952117,1,-1.863733666136767,-1.63714599609375,21.594419812533005,25.09362030029297,11.866480632115,10.242385864257812,72.32301006691092,72.56890106201172,4.7716064453125,1.8691117143513132,0.9449545064385853,0,0,0,1,0
57,57,tv057_s057_k6_r0.6,6,0.6000000238418579,1,15.85890007019043,combined20,1.6155034422697985,10.171216591425358,10.372591018978305,11.453695468920785,1,10.037734656217921,1,10.037734656217921,1,3.4645371764538407e-16,1.000014294556817,1.000039719346838,1,-5.811442170098772,-5.325904846191406,23.0359931917804,25.82311248779297,11.145336229906661,11.663246154785156,75.5826696892674,75.74362182617188,3.638336181640625,1.1415191353078666,0.9636177392002204,0,0,0,1,0
