priority,role,candidate_index,sample_index,k,ratio,large_scan,min_target_separation_deg,combined_active_rl_db,task_significant_active_rl_db,psll_db,nearest_iso_db,local_iso_db,target_spread_db,pointing_error_deg,strict_engineering_gate
40.95216674804688,k6_active_positive_direction_failure,73,72,6,0.6000000238418579,0,7.932348728179932,10.01980408633727,10.007513752975939,5.228538513183594,25.730335235595703,9.52166748046875,6.220619201660156,3.453986902855923,0
40.930355072021484,k6_active_positive_direction_failure,72,72,6,0.5,0,7.932348728179932,10.10189991932693,10.032663726287023,5.5560150146484375,25.525291442871094,9.303550720214844,6.227783203125,3.453986902855923,0
40.8576301574707,k6_active_positive_direction_failure,68,68,6,0.8999999761581421,1,10.474303245544434,10.279862679126143,10.039702697075708,-4.146522521972656,26.0032958984375,8.576301574707031,4.566810607910156,2.2818364630183376,0
40.551900482177736,k6_active_positive_direction_failure,78,73,6,0.5,0,9.35646915435791,10.33232464950938,10.01229815563389,1.7072601318359375,25.55352020263672,5.519004821777344,3.2426300048828125,2.6560172291730035,0
29.94481506347656,active_positive_direction_boundary,43,43,4,0.699999988079071,1,31.78203010559082,10.193744250598096,10.011883163045459,-4.195716857910156,25.275924682617188,15.729652404785156,3.6512222290039062,2.0030697772704658,0
29.899000549316405,active_positive_direction_boundary,47,47,4,0.800000011920929,1,39.343414306640625,10.580015416853023,10.0257803119352,-4.126312255859375,25.88896942138672,19.49500274658203,1.3849868774414062,2.8268360708288816,0
29.894387817382814,active_positive_direction_boundary,26,26,2,0.699999988079071,1,55.273494720458984,10.146897410838122,10.072741846525101,-5.718498229980469,30.799213409423828,20.528060913085938,3.3627548217773438,2.4851305324312665,0
29.85103759765625,active_positive_direction_boundary,20,20,2,0.5,1,54.766170501708984,10.145728746905485,10.022956516944607,-6.474021911621094,25.74481201171875,17.852920532226562,2.6151962280273438,0.7989188925666157,0
29.832743072509764,active_positive_direction_boundary,48,48,4,0.8999999761581421,0,13.632284164428711,10.203832293908055,10.001615517616695,-9.683868408203125,25.836284637451172,17.359634399414062,1.471221923828125,1.1703168677400844,0
29.827546691894533,active_positive_direction_boundary,39,39,4,0.6000000238418579,0,15.059062004089355,10.420822267420867,10.031765821924324,-8.101737976074219,25.862266540527344,17.59833526611328,1.1472702026367188,1.2551908139937036,0
29.80257568359375,active_positive_direction_boundary,31,31,2,0.8999999761581421,1,35.052467346191406,10.386598407380864,10.031072260164539,-3.3123626708984375,30.49837875366211,20.98712158203125,1.7291107177734375,2.877363310332569,0
29.795508575439452,active_positive_direction_boundary,46,46,4,0.800000011920929,1,11.813552856445312,10.17952817964767,10.006018371595431,-5.107940673828125,26.022457122802734,14.477912902832031,2.9765701293945312,1.730243722984443,0
29.778657531738283,active_positive_direction_boundary,25,25,2,0.699999988079071,1,80.07714080810547,10.136191296043824,10.02571050330824,-6.388450622558594,26.106712341308594,18.853553771972656,2.7741012573242188,0.9141719072705323,0
29.775244140625,active_positive_direction_boundary,44,44,4,0.699999988079071,1,25.887489318847656,10.165133677469544,10.15242956797531,-3.7693557739257812,26.123779296875,15.223312377929688,4.0577239990234375,2.00176867397502,0
29.772442626953126,active_positive_direction_boundary,22,22,2,0.6000000238418579,1,28.5905818939209,10.293429862327518,10.010414600094224,-5.684730529785156,26.226341247558594,21.137786865234375,1.3451385498046875,1.8942304360002395,0
29.759521484375,active_positive_direction_boundary,18,18,2,0.5,0,30.836536407470703,10.205918356736454,10.037147676334918,-11.364334106445312,26.202392578125,17.497970581054688,0.879058837890625,0.6236221555346833,0
29.75419692993164,active_positive_direction_boundary,37,37,4,0.5,1,21.323556900024414,10.098408573181349,10.039146967541623,-4.457725524902344,26.229015350341797,15.156974792480469,3.1083450317382812,1.3035024464225893,0
