candidate_index,sample_index,k,ratio,config,best_iteration,combined_worst_active_rl_db,combined_total_rl_db,combined_active_gate,combined_dynamic_range_db,all_tasks_significant_worst_active_rl_db,all_tasks_significant_worst_total_rl_db,all_tasks_significant_gate,all_tasks_strict_worst_active_rl_db,all_tasks_strict_gate,target_response_error_max,nearest_bound_ratio_max,local_bound_ratio_max,constraint_pass
60,60,6,0.699999988079071,balanced30,37,10.013091679512623,11.022267054646182,1,17.23425626108128,10.011434978077467,10.027935645977555,1,10.011434978077467,1,3.965273132814657e-16,1.000277286735227,0.9998576621515756,1
60,60,6,0.699999988079071,combined20,45,10.272187752319494,11.12190614179534,1,16.37580445897648,10.009217834567977,10.083122589584676,1,10.009217834567977,1,3.226288826465577e-16,1.0000003808896334,1.000171921590335,1
60,60,6,0.699999988079071,robust20,106,10.053198136731986,11.050403950098433,1,15.843080060513365,10.02028788070422,10.044763206111785,1,10.02028788070422,1,6.684805207254852e-16,1.0000003940286684,1.00000001031067,1
61,61,6,0.699999988079071,balanced30,57,10.065651183444793,11.703474178419857,1,18.92647081269756,10.013495306261198,10.094574471287459,1,10.013495306261198,1,4.733580051127395e-16,1.0456416727993068,1.0033243488410537,1
61,61,6,0.699999988079071,combined20,70,10.011522925092285,11.831472814571356,1,19.671944873971373,10.027364694947378,10.122335571856356,1,10.027364694947378,1,6.029226121336049e-16,1.0478204866171337,1.0036226816076195,1
61,61,6,0.699999988079071,robust20,70,10.134808790599742,11.684908669918379,1,18.644809397728547,10.021652857480422,10.04093595470258,1,10.021652857480422,1,2.940165606354471e-16,1.0039761855692868,1.0002931178067314,1
62,62,6,0.699999988079071,balanced30,37,10.223512307653436,11.667311613519933,1,16.65397421778088,10.024489244791488,10.072520544608867,1,10.024489244791488,1,6.560955942019987e-16,0.9999549667667779,1.0000797487834983,1
62,62,6,0.699999988079071,combined20,53,10.153454419702719,11.641213334587484,1,17.377262989001053,10.014683048880123,10.059836082510438,1,10.014683048880123,1,4.513899789295327e-16,0.9999772081783337,1.000000215937475,1
62,62,6,0.699999988079071,robust20,81,10.023020029038435,11.664663516222992,1,16.977587041952404,10.01626559923734,10.030804595485465,1,10.01626559923734,1,5.581365075365536e-16,1.0000000000293734,1.000000003592554,1
63,63,6,0.800000011920929,balanced30,70,10.236992634259147,12.653280235701912,1,17.590074991088144,10.022524870700265,10.40283636651017,1,10.022524870700265,1,2.8778284527444756e-16,1.000001423683601,1.00000121782521,1
63,63,6,0.800000011920929,combined20,58,10.1143233132911,12.531365022786376,1,14.890309390199397,10.027163330641871,10.387536501896273,1,10.027163330641871,1,7.144158937644102e-16,1.0000000843701955,1.0000008259090596,1
63,63,6,0.800000011920929,robust20,90,10.033032236696899,12.41679068224453,1,18.552405360171576,10.01065521949364,10.320125880256077,1,10.01065521949364,1,4.76902549378404e-16,1.000001574013084,1.0000000063739647,1
64,64,6,0.800000011920929,balanced30,41,10.041221514532797,12.827889449990904,1,17.80565918874656,10.010898710312663,10.529607142315658,1,10.010898710312663,1,5.304112280819378e-16,1.001136603578615,1.0153023541149213,1
64,64,6,0.800000011920929,combined20,33,10.241592268528741,12.821017116234215,1,16.225013758314123,10.026480320410649,10.516129069572592,1,10.026480320410649,1,4.790449571912817e-16,1.0083492256515432,1.016505484235614,1
64,64,6,0.800000011920929,robust20,66,10.199684142149735,12.83960768607728,1,17.966503564588685,10.017328908056829,10.492953451988852,1,10.017328908056829,1,2.657406900790459e-16,0.9999463034209047,1.000734437941034,1
65,65,6,0.800000011920929,balanced30,61,10.240970423521249,11.747191336449092,1,18.274950528205718,9.934489843265828,10.24321810515395,0,9.934489843265828,0,6.110678824756663e-16,1.000008612137185,1.0000002819122111,1
65,65,6,0.800000011920929,combined20,60,10.011549672262408,11.719350690641924,1,16.773757171567603,9.493427390969678,10.317793543873222,0,9.493427390969678,0,4.60892360856327e-16,1.0000227972649847,1.0007932768393206,1
65,65,6,0.800000011920929,robust20,110,10.22572118534997,11.702801438735793,1,16.44435203802833,10.019858638725621,10.218599903071624,1,10.019858638725621,1,6.11152110296081e-16,1.00000000043087,1.000000022389536,1
66,66,6,0.8999999761581421,balanced30,58,10.083378646140638,12.849317326528045,1,17.440590129384937,9.734075401554534,10.432179897726556,0,9.734075401554534,0,6.434937900612351e-16,0.9913875231915732,1.0013313444753165,1
66,66,6,0.8999999761581421,combined20,90,10.121715587228612,12.958933223134485,1,19.79225404705158,10.005391617905591,10.672835425541061,1,10.005391617905591,1,6.926575046644099e-16,1.0000007187459807,1.0000141206360054,1
66,66,6,0.8999999761581421,robust20,85,10.041063812013453,12.804627792169336,1,16.609503814764814,10.010670345981179,10.37968745493139,1,10.010670345981179,1,8.034697123460015e-16,0.9997480701933485,1.0000000767969606,1
67,67,6,0.8999999761581421,balanced30,66,10.16693193750786,11.962537235980209,1,18.01649361549238,10.006116612013097,10.088278794994407,1,10.006116612013097,1,4.1870342800134167e-16,1.000011664255167,1.0000115514841255,1
67,67,6,0.8999999761581421,combined20,90,10.107187888650245,11.966035330963596,1,16.746259523881506,10.014719107895896,10.102083497424,1,10.014719107895896,1,1.552085684322778e-16,1.0000000606770445,1.0000004574171004,1
67,67,6,0.8999999761581421,robust20,110,10.048903675020052,11.929407680720603,1,15.110146627014023,10.025817505705346,10.092026558434547,1,10.025817505705346,1,4.0793622903240167e-16,1.0000000009361594,1.000000007695899,1
68,68,6,0.8999999761581421,balanced30,33,10.015439436645394,11.083472495219826,1,22.662041608411503,9.323206483316154,10.162541165926903,0,9.323206483316154,0,5.904560594868636e-16,1.0012744412444963,1.0012100418753433,1
68,68,6,0.8999999761581421,combined20,90,10.131288466729142,11.191772853265382,1,19.81244549884139,10.005337521574422,10.201942814877768,1,10.005337521574422,1,4.1361411047061665e-16,1.0000000168090664,1.0000091777525357,1
68,68,6,0.8999999761581421,robust20,97,10.279862679126143,11.17466954805537,1,18.787733250872392,10.039702697075708,10.208321819612681,1,10.039702697075708,1,2.9480366473130703e-16,0.9973398007644307,1.0000022982695862,1
69,69,6,1.0,balanced30,39,10.01649732553119,12.425650552768593,1,20.51299067147534,8.384145461056477,11.380281254037017,0,8.384145461056477,0,5.004554528935552e-16,1.009768415893839,1.029544805656676,1
69,69,6,1.0,combined20,45,8.662434871120814,12.505191938712812,0,19.68016113672453,8.043316377137678,11.404621029673352,0,8.043316377137678,0,7.03723422223839e-16,1.0092812020593351,1.0203267273733876,1
69,69,6,1.0,robust20,102,9.681855015688628,12.519551966154436,0,19.89435945173419,9.309374067174788,11.416245093712067,0,9.309374067174788,0,7.032481543014368e-16,1.0000001507126128,1.0005809061783828,1
70,70,6,1.0,balanced30,29,7.321227148935424,13.628810822805324,0,16.985447158882877,7.383503724908466,9.796203843328202,0,7.383503724908466,0,3.6267587506163105e-16,1.0408159993983865,1.0288028938046114,1
70,70,6,1.0,combined20,85,9.316395393370849,13.77610414299651,0,16.252669954307994,9.000209949829273,10.60728802781528,0,9.000209949829273,0,4.1813164012812097e-16,1.0200048081201964,1.0009220358631556,1
70,70,6,1.0,robust20,93,10.194974178445136,13.735094531722174,1,15.3451657103341,9.640334546613083,10.418066094205038,0,9.640334546613083,0,5.261719012704018e-16,1.0071311147234916,1.0001853179757076,1
