k,ratio,large_scan,candidate_count,combined_strict_mask_worst_min_db,combined_strict_mask_worst_mean_db,combined_strict_mask_worst_max_db,combined_strict_mask_gate_rate,combined_rel40db_worst_min_db,combined_rel40db_worst_mean_db,combined_rel40db_worst_max_db,combined_rel40db_gate_rate,combined_rel30db_worst_min_db,combined_rel30db_worst_mean_db,combined_rel30db_worst_max_db,combined_rel30db_gate_rate,combined_rel20db_worst_min_db,combined_rel20db_worst_mean_db,combined_rel20db_worst_max_db,combined_rel20db_gate_rate
6,0.6,0,2,-6.007036024333063,-5.874239243823483,-5.741442463313903,0.0,-6.007036024333063,-5.874239243823483,-5.741442463313903,0.0,-5.741442463313903,-5.66071764321407,-5.579992823114236,0.0,-5.579992823114236,-2.165911947718223,1.2481689276777905,0.0
6,0.6,1,5,-20.508369451080203,-3.262054689766584,3.8110857353293186,0.0,-20.508369451080203,-3.262054689766584,3.8110857353293186,0.0,-20.508369451080203,-3.262054689766584,3.8110857353293186,0.0,-5.353140629364921,-0.2310089254235276,3.8110857353293186,0.0
6,0.7,0,2,-4.561638284920777,-3.171660123922916,-1.781681962925055,0.0,-4.561638284920777,-3.171660123922916,-1.781681962925055,0.0,-4.561638284920777,-2.038438615605358,0.4847610537100612,0.0,-1.7767004390282657,1.9393409408333142,5.655382320694894,0.0
6,0.7,1,5,-15.45245282935934,-3.8704044529391064,3.485164315442439,0.0,-15.45245282935934,-3.8704044529391064,3.485164315442439,0.0,-15.45245282935934,-3.8704044529391064,3.485164315442439,0.0,-8.995352089193808,-0.3916998259887231,4.1632034782198515,0.0
6,0.8,0,2,-7.8337935471445705,-5.013513822223327,-2.1932340973020845,0.0,-7.8337935471445705,-5.013513822223327,-2.1932340973020845,0.0,-7.8337935471445705,-5.013513822223327,-2.1932340973020845,0.0,3.7645865674780667,4.368150530595669,4.97171449371327,0.0
6,0.8,1,5,-15.999959985176677,-3.3435994568391627,2.9609144059645516,0.0,-15.999959985176677,-3.3435994568391627,2.9609144059645516,0.0,-15.999959985176677,-3.3435994568391627,2.9609144059645516,0.0,-8.343687714475838,-1.463173631270005,2.9609144059645516,0.0
6,0.9,0,2,-11.301037806271328,-10.219464839594421,-9.137891872917514,0.0,-11.301037806271328,-10.219464839594421,-9.137891872917514,0.0,-11.301037806271328,-6.267184915843517,-1.2333320254157056,0.0,0.5401889853572988,2.657039295409387,4.773889605461475,0.0
6,0.9,1,5,-14.408128451375372,-2.209736687969013,5.414816929613956,0.0,-14.408128451375372,-2.209736687969013,5.414816929613956,0.0,-14.408128451375372,-2.209736687969013,5.414816929613956,0.0,-4.855193689579209,0.7656701769438963,5.503964642887337,0.0
6,1.0,0,2,-10.829081289426817,-5.821815910509125,-0.8145505315914326,0.0,-10.829081289426817,-5.821815910509125,-0.8145505315914326,0.0,-5.253838400035616,-3.0341944658135245,-0.8145505315914326,0.0,1.3567498351896665,2.8911227590672257,4.425495682944785,0.0
6,1.0,1,5,-11.683117426640145,-2.9722605975964704,1.9747942323618186,0.0,-11.683117426640145,-2.9722605975964704,1.9747942323618186,0.0,-11.683117426640145,-2.9722605975964704,1.9747942323618186,0.0,-10.272680049838561,-1.8969042202032314,1.9747942323618186,0.0
6,all,all,42,-20.508369451080203,-3.539559207789816,5.414816929613956,0.0,-20.508369451080203,-3.539559207789816,5.414816929613956,0.0,-20.508369451080203,-3.1544808993434605,5.414816929613956,0.0,-10.272680049838561,0.22968392017696382,5.655382320694894,0.0
all,all,all,96,-22.48519573894321,-0.22939077921444007,8.738883107874873,0.0,-22.48519573894321,-0.22939077921444007,8.738883107874873,0.0,-20.508369451080203,0.021237562119847325,8.738883107874873,0.0,-10.272680049838561,1.8527487626844605,8.738883107874873,0.0
