candidate_index,sample_index,scene_id,target_hash,boundary_type,boundary_side,variant_kind,k,active_ratio,pattern15_admit,strict_admit,fullwave_complete,prob_gate15,actual_gate15,prob_gate20,actual_gate20,prob_mainlobe_gate,actual_mainlobe_gate,prob_strict_engineering_gate,actual_strict_engineering_gate,pred_psll_db,actual_psll_db,error_psll_db,pred_nearest_iso_db,actual_nearest_iso_db,error_nearest_iso_db,pred_local_iso_db,actual_local_iso_db,error_local_iso_db,pred_mainlobe_gain_db,actual_mainlobe_gain_db,error_mainlobe_gain_db,pred_target_spread_db,actual_target_spread_db,error_target_spread_db,actual_active_rl_gate,actual_worst_active_rl_db,actual_worst_total_rl_db,frozen_threshold_label_match
30,200010,gate15_nearest_200010_a47660913737b1fc,a47660913737b1fc,nearest,control,nominal_control,2,0.3984375,1,1,1,0.9887031789980752,1,0.9621890463502106,1,0.993087463478674,1,0.9960681612556989,1,-6.37216854095459,-6.302734375,-0.06943416595458984,27.052968978881836,27.226734161376953,-0.1737651824951172,23.591638565063477,23.38037109375,0.21126747131347656,79.12855529785156,79.11260223388672,0.01595306396484375,2.685804605484009,2.699493408203125,-0.013688802719116211,1,10.06773326422778,10.046127784431821,1
31,200010,gate15_nearest_200010_a47660913737b1fc,a47660913737b1fc,nearest,inside,gate15_nearest_inside,2,0.3984375,0,0,1,0.39760244326952193,1,0.20579174591158844,1,0.9678094198733318,1,0.00011186846597712434,0,-6.633207321166992,-6.708282470703125,0.07507514953613281,20.61699676513672,25.33271026611328,-4.7157135009765625,22.557357788085938,21.230575561523438,1.3267822265625,79.0953140258789,79.42650604248047,-0.3311920166015625,2.7254390716552734,2.0029373168945312,0.7225017547607422,0,8.794457678935329,10.056417746142314,1
32,200010,gate15_nearest_200010_a47660913737b1fc,a47660913737b1fc,nearest,outside,gate15_nearest_outside,2,0.3984375,0,0,1,0.12521291065748344,0,0.1898253448979249,0,0.9667571356642876,1,7.603777262202956e-05,0,-6.586908340454102,-6.746955871582031,0.1600475311279297,20.584333419799805,24.32327651977539,-3.738943099975586,22.418399810791016,20.90716552734375,1.5112342834472656,79.08142852783203,79.45476531982422,-0.3733367919921875,2.735018014907837,1.9369583129882812,0.7980597019195557,0,8.378777633155956,10.056417746142314,1
33,200011,gate15_nearest_200011_a53914721aad91b0,a53914721aad91b0,nearest,control,nominal_control,4,0.50390625,1,1,1,0.9886338252518813,1,0.9608112884105167,1,0.9943713791561661,1,0.9968424595781488,1,-9.228873252868652,-9.18505859375,-0.043814659118652344,28.690141677856445,28.6358642578125,0.05427742004394531,23.219837188720703,23.23137664794922,-0.011539459228515625,80.31361389160156,80.30577850341797,0.00783538818359375,0.03329350799322128,0.03665924072265625,-0.003365732729434967,1,10.023081372841371,10.014235722623203,1
34,200011,gate15_nearest_200011_a53914721aad91b0,a53914721aad91b0,nearest,inside,gate15_nearest_inside,4,0.50390625,0,0,1,0.5528888289441957,1,0.4945206378554019,1,0.9565954917710917,1,0.0008720209805238428,0,-9.117720603942871,-8.920280456542969,-0.19744014739990234,23.746456146240234,25.710525512695312,-1.9640693664550781,21.673709869384766,22.32190704345703,-0.6481971740722656,80.13397216796875,80.15648651123047,-0.02251434326171875,0.6399713754653931,0.6048126220703125,0.035158753395080566,0,9.636631223348282,10.014235722623203,1
35,200011,gate15_nearest_200011_a53914721aad91b0,a53914721aad91b0,nearest,outside,gate15_nearest_outside,4,0.50390625,0,0,1,0.5355825585646449,0,0.4876391534292123,0,0.9509279986461882,1,0.00039180323290988233,0,-9.069931983947754,-8.880195617675781,-0.18973636627197266,23.631196975708008,24.133609771728516,-0.5024127960205078,21.390438079833984,21.792789459228516,-0.40235137939453125,80.1124267578125,80.13289642333984,-0.02046966552734375,0.6784000992774963,0.6891250610351562,-0.010724961757659912,0,9.389255678299048,10.014235722623203,1
36,200012,gate15_nearest_200012_6b6ed004209833e6,6b6ed004209833e6,nearest,control,nominal_control,2,0.49609375,1,1,1,0.9888764697643605,1,0.9662504391304215,1,0.9932812922935421,1,0.9977633934282735,1,-11.301828384399414,-11.244827270507812,-0.05700111389160156,33.721622467041016,33.85139465332031,-0.12977218627929688,22.908334732055664,22.882015228271484,0.026319503784179688,82.11107635498047,82.11365509033203,-0.0025787353515625,1.1725112199783325,1.1628036499023438,0.00970757007598877,1,10.04395650930075,10.057144619486593,1
37,200012,gate15_nearest_200012_6b6ed004209833e6,6b6ed004209833e6,nearest,inside,gate15_nearest_inside,2,0.49609375,1,0,1,0.5537656222626267,1,0.49491697227402764,1,0.9863461510765203,1,0.01061871287397818,0,-11.317255020141602,-11.4012451171875,0.08399009704589844,28.331972122192383,25.604846954345703,2.7271251678466797,22.16998863220215,22.14712905883789,0.022859573364257812,82.27944946289062,82.40113067626953,-0.12168121337890625,0.8346909880638123,0.5692138671875,0.26547712087631226,0,9.269387514259135,10.11461132450263,1
38,200012,gate15_nearest_200012_6b6ed004209833e6,6b6ed004209833e6,nearest,outside,gate15_nearest_outside,2,0.49609375,1,0,1,0.5534434897848705,0,0.48920750819805786,0,0.9855318456884866,1,0.006317378240238385,0,-11.273627281188965,-11.410385131835938,0.13675785064697266,28.20200538635254,24.29916763305664,3.9028377532958984,22.058551788330078,21.57135009765625,0.4872016906738281,82.27897644042969,82.4386978149414,-0.15972137451171875,0.823542058467865,0.487640380859375,0.33590167760849,0,9.157151787267642,10.123590863168124,1
39,200013,gate15_nearest_200013_37a8f06eb3079bd9,37a8f06eb3079bd9,nearest,control,nominal_control,2,0.51171875,1,1,1,0.9888774818368146,1,0.9662378187505019,1,0.9909601777302754,1,0.9950380632837177,1,-5.071338653564453,-5.000236511230469,-0.07110214233398438,30.41424560546875,30.300636291503906,0.11360931396484375,23.816879272460938,23.86153793334961,-0.044658660888671875,80.30603790283203,80.30113220214844,0.00490570068359375,2.9469664096832275,2.9315338134765625,0.015432596206665039,1,10.0834742381276,10.147747324382479,1
