destination_port,destination_ix,destination_iy,destination_class,source_port,source_ix,source_iy,source_class,top3_occurrence_count,mean_contribution_fraction,max_contribution_fraction,manhattan_distance
151,9,7,interior,119,7,7,interior,2,0.05832559518271506,0.07452530091727748,2
252,15,12,edge,250,15,10,edge,2,0.07348479115351184,0.07384201201514726,2
253,15,13,edge,251,15,11,edge,2,0.07126848303355904,0.0736319314499784,2
28,1,12,interior,28,1,12,interior,2,0.07199232177656939,0.0733606617921544,0
1,0,1,edge,1,0,1,edge,2,0.07211509537300892,0.07317349663745844,0
13,0,13,edge,61,3,13,interior,2,0.05668367722345037,0.07313632943887466,3
120,7,8,interior,136,8,8,interior,2,0.07169105321933965,0.07212752751102894,1
212,13,4,interior,244,15,4,edge,2,0.06846972033467336,0.07198371094079174,2
125,7,13,interior,125,7,13,interior,2,0.058158868437280575,0.07191824126116558,0
175,10,15,edge,143,8,15,edge,2,0.06778155134517833,0.07159387298775777,2
14,0,14,edge,46,2,14,interior,2,0.06688093341155872,0.07083041096240304,2
1,0,1,edge,3,0,3,edge,2,0.0705453929891462,0.07056718903776571,2
128,8,0,edge,113,7,1,interior,2,0.06937585189009418,0.07036185935362298,2
234,14,10,interior,202,12,10,interior,2,0.06815850836313309,0.06987296534007144,2
218,13,10,interior,186,11,10,interior,2,0.05543195495507548,0.06958035927250598,2
81,5,1,interior,49,3,1,interior,2,0.05960866454734104,0.06882294772023217,2
94,5,14,interior,78,4,14,interior,2,0.06815650406843984,0.06856790813807083,1
120,7,8,interior,104,6,8,interior,2,0.0672189306750795,0.06737166044897601,1
213,13,5,interior,213,13,5,interior,2,0.06182257117579415,0.06682021586243418,0
46,2,14,interior,95,5,15,edge,2,0.06491048985451636,0.06649622313262575,4
43,2,11,interior,28,1,12,interior,2,0.05987647407933759,0.06582813982909652,2
2,0,2,edge,5,0,5,edge,2,0.06505303663407894,0.06576596694461546,3
136,8,8,interior,120,7,8,interior,2,0.06432329266330752,0.0657534224776189,1
224,14,0,edge,192,12,0,edge,2,0.06546048626437893,0.065481831137875,2
190,11,14,interior,190,11,14,interior,2,0.060035402298938306,0.06499455061661341,0
86,5,6,interior,54,3,6,interior,2,0.05015954112133031,0.0648683150031925,2
114,7,2,interior,82,5,2,interior,2,0.05610333328971023,0.06473426503857974,2
205,12,13,interior,173,10,13,interior,2,0.06358530935968983,0.06445778333873858,2
80,5,0,edge,48,3,0,edge,2,0.06367827050138801,0.06374533838094135,2
250,15,10,edge,252,15,12,edge,2,0.048789030288246375,0.0636981112480417,2
133,8,5,interior,117,7,5,interior,2,0.0614239990879579,0.06364650468313843,1
143,8,15,edge,158,9,14,interior,2,0.06300989850498576,0.06343135709725081,2
4,0,4,edge,52,3,4,interior,2,0.04971202399016125,0.06298873140213496,3
190,11,14,interior,222,13,14,interior,2,0.05544556345294175,0.06298382249514399,2
46,2,14,interior,60,3,12,interior,2,0.06276945658615747,0.06283335576551201,3
170,10,10,interior,138,8,10,interior,2,0.06220561848252819,0.06277329475641365,2
154,9,10,interior,122,7,10,interior,2,0.06222777673870142,0.06245414290660691,2
77,4,13,interior,109,6,13,interior,2,0.055234211264911945,0.06230398565953898,2
151,9,7,interior,167,10,7,interior,2,0.05995441071942705,0.061358606973725374,1
210,13,2,interior,242,15,2,edge,2,0.0587978414783282,0.06132825347981639,2
68,4,4,interior,100,6,4,interior,2,0.0603198219825495,0.06059548867187776,2
218,13,10,interior,250,15,10,edge,2,0.05611418383375319,0.06055061214942747,2
238,14,14,interior,221,13,13,interior,2,0.05159012641639726,0.060532936409419986,2
158,9,14,interior,190,11,14,interior,2,0.05739640180706925,0.05931091218209422,2
209,13,1,interior,195,12,3,interior,2,0.049603398291105556,0.05806945722960563,3
45,2,13,interior,62,3,14,interior,2,0.05634510219163645,0.05804852519714187,2
100,6,4,interior,68,4,4,interior,2,0.05773599077645126,0.05777559681667733,2
231,14,7,interior,183,11,7,interior,2,0.05727614341538331,0.05763966149549279,3
106,6,10,interior,138,8,10,interior,2,0.050882662696483665,0.05755786266249037,2
131,8,3,interior,163,10,3,interior,2,0.046821650913828436,0.05678699671772493,2
64,4,0,edge,32,2,0,edge,2,0.056646033069316606,0.05666369550530419,2
156,9,12,interior,188,11,12,interior,2,0.056141335048587135,0.05663738749929021,2
231,14,7,interior,216,13,8,interior,2,0.05610296144726043,0.05643131530876639,2
244,15,4,edge,242,15,2,edge,2,0.049124427347909616,0.05608590235105582,2
212,13,4,interior,181,11,5,interior,2,0.05517718749301084,0.055942361575693454,3
74,4,10,interior,107,6,11,interior,2,0.054877391066316755,0.055716665987929716,3
84,5,4,interior,84,5,4,interior,2,0.05490012767300144,0.055092493000457224,0
214,13,6,interior,214,13,6,interior,2,0.054318691289126184,0.054490396231460174,0
113,7,1,interior,82,5,2,interior,2,0.05317195820870835,0.05361620836139397,3
