port_index,ix,iy,port_class,observed_case_count,active_rl_fail10_count,active_rl_fail11_count,fail10_rate_when_observed,fail11_rate_when_observed,worst_gamma,worst_active_rl_db
145,9,1,interior,320,0,8,0.0,0.025,0.30705198839159237,10.255761717813407
4,0,4,edge,400,0,8,0.0,0.02,0.30402426350411016,10.34183509851914
72,4,8,interior,385,0,8,0.0,0.02077922077922078,0.3023514560410822,10.389758712215208
193,12,1,interior,205,0,8,0.0,0.03902439024390244,0.3012362717902332,10.42185472048098
128,8,0,edge,245,2,7,0.00816326530612245,0.02857142857142857,0.3662659572238007,8.72406890363574
165,10,5,interior,330,2,7,0.006060606060606061,0.021212121212121213,0.3503064984710044,9.111036121820838
82,5,2,interior,305,3,7,0.009836065573770493,0.022950819672131147,0.3388439412676934,9.40000550799172
84,5,4,interior,290,2,7,0.006896551724137931,0.02413793103448276,0.3378488705540938,9.425550572101098
122,7,10,interior,250,3,7,0.012,0.028,0.33482195595517183,9.50372141754635
1,0,1,edge,410,2,7,0.004878048780487805,0.01707317073170732,0.3344897935191522,9.512342591462096
252,15,12,edge,450,4,7,0.008888888888888889,0.015555555555555555,0.32817480190154114,9.677895364819712
159,9,15,edge,215,3,7,0.013953488372093023,0.03255813953488372,0.32169795084560737,9.851034109239412
59,3,11,interior,240,1,7,0.004166666666666667,0.029166666666666667,0.31965794959226806,9.906289812018242
214,13,6,interior,270,0,7,0.0,0.025925925925925925,0.3138008160194883,10.066918627836959
208,13,0,edge,180,0,7,0.0,0.03888888888888889,0.3125153703949607,10.102572359130356
101,6,5,interior,265,0,7,0.0,0.026415094339622643,0.31177583342002874,10.123151023423418
148,9,4,interior,305,0,7,0.0,0.022950819672131147,0.31162103180098744,10.127464775645919
216,13,8,interior,465,0,7,0.0,0.015053763440860216,0.30716104640356195,10.252677231446604
140,8,12,interior,310,0,7,0.0,0.02258064516129032,0.30648656512688277,10.271771161517535
19,1,3,interior,255,0,7,0.0,0.027450980392156862,0.3061180173052328,10.282222164279197
65,4,1,interior,285,0,7,0.0,0.02456140350877193,0.30131627725516763,10.419548137780275
117,7,5,interior,300,0,7,0.0,0.023333333333333334,0.3009213225638475,10.430940762065726
241,15,1,edge,410,0,7,0.0,0.01707317073170732,0.2991905200654265,10.481043426612677
86,5,6,interior,305,1,6,0.003278688524590164,0.019672131147540985,0.36553690972769404,8.741375280729926
133,8,5,interior,385,2,6,0.005194805194805195,0.015584415584415584,0.35695315474875566,8.947775507954388
37,2,5,interior,320,2,6,0.00625,0.01875,0.32961453978607863,9.639872783576841
213,13,5,interior,345,1,6,0.002898550724637681,0.017391304347826087,0.3267157545654232,9.716598457974667
227,14,3,interior,90,1,6,0.011111111111111112,0.06666666666666667,0.3263537184172227,9.726228693288
103,6,7,interior,300,2,6,0.006666666666666667,0.02,0.32456124320469915,9.774066835437024
171,10,11,interior,325,1,6,0.003076923076923077,0.018461538461538463,0.3238970763634155,9.791859442079032
176,11,0,edge,190,2,6,0.010526315789473684,0.031578947368421054,0.31996220425759625,9.898026399340186
160,10,0,edge,240,1,6,0.004166666666666667,0.025,0.3180601574534817,9.949814607907927
