stimulus_index,stimulus_family,sample_index,k_value,ratio,window_role,source_type,task_index,worst_port,active_rl_db,worst_gamma_magnitude,source_port_magnitude,reflected_port_magnitude,required_b_reduction_for_10db,required_b_reduction_for_11db,stop_line_pass,design_line_pass
1090,k6_supported_scene,421032,6,0.5,interior,task,1,P01,3.1397165805200893,0.6966492453166399,0.31177434532308285,0.21719736237841505,0.11860565765553438,0.12932741305194242,False,False
697,k6_supported_scene,421026,6,0.5,edge,task,3,P10,3.237538933992756,0.6888474472103608,0.37139065337950883,0.25583150349826267,0.13838746686052678,0.15115939566666659,False,False
116,old_285_replay,426109,2,0.6000000238418579,edge,combined,-1,P11,3.286082163063498,0.6850083916909813,0.37484808989463403,0.2567740871871596,0.13823671312410063,0.1511275413495476,False,False
958,k6_supported_scene,421030,6,0.5,interior,combined,-1,P10,3.3079834990082646,0.6832833294333387,0.28254678736464295,0.19305950959120685,0.10371037022765128,0.11342700531199518,False,False
949,k6_supported_scene,421030,6,0.5,edge,task,3,P10,3.34057499782345,0.6807242938863809,0.3273026645183563,0.2228028751913891,0.11930068477939072,0.130556450887798,False,False
553,k6_supported_scene,421024,6,0.5,corner,task,4,P10,3.3528485978529474,0.6797630754197984,0.3734668764795558,0.25386899252316886,0.13576839649275257,0.14861172551690585,False,False
1042,k6_supported_scene,421032,6,0.5,corner,combined,-1,P11,3.4027681042082274,0.6758675489900745,0.267039459336113,0.18048330486513336,0.09603801320093011,0.10522135944843446,False,False
1486,k6_supported_scene,421039,6,0.5,corner,task,0,P01,3.419114891084492,0.6745967669078684,0.3736342144194407,0.252052433053516,0.13389892012020005,0.1467480038079005,False,False
769,k6_supported_scene,421027,6,0.699999988079071,interior,combined,-1,P10,3.4419490411824123,0.6728256628776705,0.36876700260472434,0.24811590297493533,0.1315015375605179,0.1441832403994644,False,False
877,k6_supported_scene,421029,6,0.5,edge,task,0,P01,3.507526126648525,0.667765063519244,0.33808908575215885,0.22576407982245347,0.11885092352037313,0.13047762896938458,False,False
619,k6_supported_scene,421025,6,0.5,corner,task,5,P10,3.523046009368257,0.6665729712200704,0.38958016940924867,0.2596836110515413,0.13648754439479333,0.14988500106932723,False,False
1432,k6_supported_scene,421038,6,0.5,corner,task,3,P10,3.532813287145786,0.6658238315893663,0.4435909322713293,0.29535341418319555,0.1550776446457066,0.17033250298547548,False,False
883,k6_supported_scene,421029,6,0.5,edge,task,2,P01,3.581131144842264,0.6621302702770318,0.2725221412551537,0.18044515904575037,0.09426609112650795,0.10363798391523381,False,False
1270,k6_supported_scene,421035,6,0.5,edge,task,5,P10,3.6165546152384764,0.6594354180453326,0.38971619864766355,0.25699266437425994,0.13375358149533506,0.14715571614367573,False,False
562,k6_supported_scene,421024,6,0.5,edge,task,0,P10,3.682916326251198,0.6544164139419554,0.37693036131645175,0.24666941535855788,0.1274735692555368,0.1404360056975948,False,False
616,k6_supported_scene,421025,6,0.5,corner,task,4,P00,3.69596172262284,0.6534342792274297,0.23399656821930312,0.1529013788960724,0.07890516687247555,0.08695218551169816,False,False
853,k6_supported_scene,421029,6,0.5,corner,combined,-1,P10,3.6972798661794286,0.6533351236005017,0.24364502028750454,0.15918184944418354,0.08213452897753883,0.0905133527975951,False,False
289,k6_supported_scene,421020,6,0.5,corner,task,0,P10,3.7931685580888153,0.6461622350678453,0.23598567126632192,0.1524850287894324,0.07785980715289952,0.08597522999743379,False,False
1264,k6_supported_scene,421035,6,0.5,edge,task,3,P01,3.8020361958264752,0.6455028888247162,0.30094257014889586,0.194259298401447,0.09909290174389614,0.10944215810159665,False,False
1309,k6_supported_scene,421036,6,0.5,corner,task,4,P11,3.804507931482242,0.6453192247928842,0.37964208416129,0.24499033544971857,0.12493696728941744,0.13799265845073427,False,False
1495,k6_supported_scene,421039,6,0.5,corner,task,3,P10,3.8129736136335306,0.6446905723171484,0.36044356653846593,0.23237456919971775,0.11839230537811718,0.13078776963810818,False,False
400,k6_supported_scene,421021,6,0.5,interior,task,2,P10,3.8384079587588618,0.6428055266802051,0.2959382517624882,0.19023074378900537,0.09664685155522516,0.10682401204144143,False,False
409,k6_supported_scene,421021,6,0.5,interior,task,5,P10,3.856131894673575,0.6414951913736243,0.29328022571005924,0.18813785451797418,0.09539450392476816,0.10548025629611245,False,False
1177,k6_supported_scene,421034,6,0.5,corner,task,2,P10,3.8949754626975146,0.6386328100687231,0.2671169945930578,0.17058967687407645,0.086119866408782,0.0953058790529031,False,False
1003,k6_supported_scene,421031,6,0.5,edge,task,0,P01,3.9148794118907135,0.6371710413274183,0.4375320076942444,0.2787827249566177,0.14042295560260487,0.1554694507198851,False,False
1249,k6_supported_scene,421035,6,0.5,corner,task,5,P10,3.930498474302982,0.6360263028922923,0.35159235874328953,0.22362198805667494,0.11243872190269383,0.12452979779216536,False,False
1459,k6_supported_scene,421038,6,0.5,edge,task,5,P00,3.9913992678654155,0.6315824252683511,0.19507952738458037,0.123208801025757,0.061519237885310586,0.0682279200037732,False,False
1147,k6_supported_scene,421033,6,0.5,interior,combined,-1,P00,3.994288244888021,0.6313723922396821,0.2617266830295835,0.16524700197734518,0.08248175769590294,0.09148240036664117,False,False
1381,k6_supported_scene,421037,6,0.5,edge,task,0,P11,4.004634983170435,0.6306207414779962,0.284401839291293,0.1793496987715811,0.08941394048141577,0.09919436982370147,False,False
1450,k6_supported_scene,421038,6,0.5,edge,task,2,P10,4.0116445654505455,0.6301120307995774,0.26850845676484975,0.16919040897896,0.08428057953958286,0.09351444383433881,False,False
