stimulus_index,stimulus_family,sample_index,k_value,ratio,window_role,source_type,task_index,worst_port,active_rl_db,worst_gamma_magnitude,source_port_magnitude,reflected_port_magnitude,required_b_reduction_for_10db,required_b_reduction_for_11db,stop_line_pass,design_line_pass,s_column_port,coupling_relation,d_active_rl_db_d_re_s,d_active_rl_db_d_im_s,jacobian_magnitude
42,old_285_replay,426110,4,0.699999988079071,corner,task,1,P10,9.09831407794555,0.35081996113045766,0.5817622927503417,0.20409382492984085,0.020124434740566605,0.040130933335757096,False,False,P00,x_neighbor,6.026966789614378,20.902382843925597,21.75394072891507
42,old_285_replay,426110,4,0.699999988079071,corner,task,1,P10,9.09831407794555,0.35081996113045766,0.5817622927503417,0.20409382492984085,0.020124434740566605,0.040130933335757096,False,False,P10,self,13.67431730360701,20.64006800298046,24.75882389951881
42,old_285_replay,426110,4,0.699999988079071,corner,task,1,P10,9.09831407794555,0.35081996113045766,0.5817622927503417,0.20409382492984085,0.020124434740566605,0.040130933335757096,False,False,P01,diagonal,-0.0,0.0,0.0
42,old_285_replay,426110,4,0.699999988079071,corner,task,1,P10,9.09831407794555,0.35081996113045766,0.5817622927503417,0.20409382492984085,0.020124434740566605,0.040130933335757096,False,False,P11,y_neighbor,-1.1521943243073576,26.90073359845989,26.925397302477723
43,old_285_replay,426110,4,0.699999988079071,corner,task,2,P10,7.392526169513221,0.42694672989746324,0.5889601375113133,0.2514546047504155,0.06520905619224321,0.08546308487471038,False,False,P00,x_neighbor,-6.775505372327204,15.326215764178547,16.757098874822866
43,old_285_replay,426110,4,0.699999988079071,corner,task,2,P10,7.392526169513221,0.42694672989746324,0.5889601375113133,0.2514546047504155,0.06520905619224321,0.08546308487471038,False,False,P10,self,-6.290698969015391,19.3471852682501,20.34419994304925
43,old_285_replay,426110,4,0.699999988079071,corner,task,2,P10,7.392526169513221,0.42694672989746324,0.5889601375113133,0.2514546047504155,0.06520905619224321,0.08546308487471038,False,False,P01,diagonal,-0.0,0.0,0.0
43,old_285_replay,426110,4,0.699999988079071,corner,task,2,P10,7.392526169513221,0.42694672989746324,0.5889601375113133,0.2514546047504155,0.06520905619224321,0.08546308487471038,False,False,P11,y_neighbor,13.691645096309143,17.636368371871836,22.32717256599338
44,old_285_replay,426110,4,0.699999988079071,corner,task,3,P10,6.657625585450019,0.464642274602417,0.5477448162472223,0.25450539732279237,0.08129327773362988,0.10012993324281677,False,False,P00,x_neighbor,-7.904544327659558,18.7334215309824,20.33280362580158
44,old_285_replay,426110,4,0.699999988079071,corner,task,3,P10,6.657625585450019,0.464642274602417,0.5477448162472223,0.25450539732279237,0.08129327773362988,0.10012993324281677,False,False,P10,self,12.915779230321435,13.514347097142856,18.693713664985246
44,old_285_replay,426110,4,0.699999988079071,corner,task,3,P10,6.657625585450019,0.464642274602417,0.5477448162472223,0.25450539732279237,0.08129327773362988,0.10012993324281677,False,False,P01,diagonal,-0.0,-0.0,0.0
44,old_285_replay,426110,4,0.699999988079071,corner,task,3,P10,6.657625585450019,0.464642274602417,0.5477448162472223,0.25450539732279237,0.08129327773362988,0.10012993324281677,False,False,P11,y_neighbor,-1.2012631593390515,20.01085268130307,20.04687652006665
63,old_285_replay,426102,2,0.699999988079071,corner,task,1,P10,8.333772919240673,0.3830992961170265,0.5824170546101916,0.22312356366771616,0.03894711959822858,0.05897613510864805,False,False,P00,x_neighbor,-0.0,-0.0,0.0
63,old_285_replay,426102,2,0.699999988079071,corner,task,1,P10,8.333772919240673,0.3830992961170265,0.5824170546101916,0.22312356366771616,0.03894711959822858,0.05897613510864805,False,False,P10,self,22.61374736973107,1.6337294354978416,22.672684930780278
63,old_285_replay,426102,2,0.699999988079071,corner,task,1,P10,8.333772919240673,0.3830992961170265,0.5824170546101916,0.22312356366771616,0.03894711959822858,0.05897613510864805,False,False,P01,diagonal,-0.0,-0.0,0.0
63,old_285_replay,426102,2,0.699999988079071,corner,task,1,P10,8.333772919240673,0.3830992961170265,0.5824170546101916,0.22312356366771616,0.03894711959822858,0.05897613510864805,False,False,P11,y_neighbor,8.236472221266618,30.553990707315776,31.644680797796575
80,old_285_replay,426113,4,0.800000011920929,corner,combined,-1,P00,9.566103040797584,0.33242589596971894,0.4274604514125049,0.14209892355242248,0.006924059941696981,0.021624199547262274,False,False,P00,self,25.256080850846537,6.696607484598808,26.128799661432634
80,old_285_replay,426113,4,0.800000011920929,corner,combined,-1,P00,9.566103040797584,0.33242589596971894,0.4274604514125049,0.14209892355242248,0.006924059941696981,0.021624199547262274,False,False,P10,x_neighbor,-30.191283821854398,16.670267493964587,34.48784477366046
80,old_285_replay,426113,4,0.800000011920929,corner,combined,-1,P00,9.566103040797584,0.33242589596971894,0.4274604514125049,0.14209892355242248,0.006924059941696981,0.021624199547262274,False,False,P01,y_neighbor,-0.0,-0.0,0.0
80,old_285_replay,426113,4,0.800000011920929,corner,combined,-1,P00,9.566103040797584,0.33242589596971894,0.4274604514125049,0.14209892355242248,0.006924059941696981,0.021624199547262274,False,False,P11,diagonal,25.111628587481412,35.123013559615515,43.17661371419196
82,old_285_replay,426113,4,0.800000011920929,corner,task,1,P11,7.721976855275424,0.41105615659429207,0.5773409572785702,0.23731955494339843,0.05474831379317352,0.0746027649920182,False,False,P00,diagonal,16.427227230604476,6.3447359271958135,17.609925282969336
82,old_285_replay,426113,4,0.800000011920929,corner,task,1,P11,7.721976855275424,0.41105615659429207,0.5773409572785702,0.23731955494339843,0.05474831379317352,0.0746027649920182,False,False,P10,y_neighbor,17.299804272572683,16.84222271260189,24.14422692426094
82,old_285_replay,426113,4,0.800000011920929,corner,task,1,P11,7.721976855275424,0.41105615659429207,0.5773409572785702,0.23731955494339843,0.05474831379317352,0.0746027649920182,False,False,P01,x_neighbor,-0.0,-0.0,0.0
82,old_285_replay,426113,4,0.800000011920929,corner,task,1,P11,7.721976855275424,0.41105615659429207,0.5773409572785702,0.23731955494339843,0.05474831379317352,0.0746027649920182,False,False,P11,self,12.449002078226588,17.074171119988588,21.130664262591043
83,old_285_replay,426113,4,0.800000011920929,corner,task,2,P11,7.7922245250246815,0.40774512164775084,0.4655405335530759,0.1898218814855578,0.04260503856978182,0.0586147321277842,False,False,P00,diagonal,20.59496157671852,9.0640594018295,22.501324742921383
83,old_285_replay,426113,4,0.800000011920929,corner,task,2,P11,7.7922245250246815,0.40774512164775084,0.4655405335530759,0.1898218814855578,0.04260503856978182,0.0586147321277842,False,False,P10,y_neighbor,12.69708158624651,31.184816184841964,33.67059015357737
83,old_285_replay,426113,4,0.800000011920929,corner,task,2,P11,7.7922245250246815,0.40774512164775084,0.4655405335530759,0.1898218814855578,0.04260503856978182,0.0586147321277842,False,False,P01,x_neighbor,-0.0,0.0,0.0
83,old_285_replay,426113,4,0.800000011920929,corner,task,2,P11,7.7922245250246815,0.40774512164775084,0.4655405335530759,0.1898218814855578,0.04260503856978182,0.0586147321277842,False,False,P11,self,19.7150488236509,-8.06863197925288,21.30225274790347
84,old_285_replay,426113,4,0.800000011920929,corner,task,3,P11,5.086109391287089,0.5567939791738572,0.43572592365539337,0.2426095708612908,0.10482093542812249,0.1198053202673109,False,False,P00,diagonal,10.44043833730419,-8.310405564347022,13.344122051262161
84,old_285_replay,426113,4,0.800000011920929,corner,task,3,P11,5.086109391287089,0.5567939791738572,0.43572592365539337,0.2426095708612908,0.10482093542812249,0.1198053202673109,False,False,P10,y_neighbor,10.431845710078498,27.414126057462788,29.33185490918267
