candidate_index,sample_index,scene_id,target_hash,boundary_type,boundary_side,variant_kind,parent_candidate_index,k,active_ratio,active_count,implementation_delta_norm,implementation_delta_max,task_mixing_amplitude,coherent_mode_amplitude,boundary_metric_code,nominal_eep_gate15,actual_basis_gate15,actual_basis_gate20,actual_basis_mainlobe_gate,predicted_hard_negative,nominal_psll_db,actual_basis_psll_db,nominal_nearest_iso_db,actual_basis_nearest_iso_db,nominal_local_iso_db,actual_basis_local_iso_db,actual_basis_pointing_error_deg,combined_worst_active_rl_db,combined_total_rl_db,task_significant_worst_active_rl_db,robust_active_gate,expected_hfss_case_count
25,200008,gate15_psll_200008_319a15f32a015db9,319a15f32a015db9,psll,inside,gate15_psll_inside,11,6,0.72265625,185,0.11565972119569778,0.0926860049366951,0.0,0.29457914592211676,1,1,1,1,1,0,-7.343269348144531,-0.32894134521484375,28.565444946289062,28.565425872802734,23.253631591796875,22.134918212890625,1.3382188781756175,-3.9315753458182403,12.225068040772506,8.253974668573997,0,7
26,200008,gate15_psll_200008_319a15f32a015db9,319a15f32a015db9,psll,outside,gate15_psll_outside,11,6,0.72265625,185,0.1228884607553482,0.09847889840602875,0.0,0.31299034254224906,1,1,0,0,1,1,-7.343269348144531,0.0814056396484375,28.565444946289062,28.5654296875,23.253631591796875,22.005935668945312,1.3382188781756175,-5.114158385906247,12.190498424564804,8.107299941339008,0,7
27,200009,gate15_psll_200009_889a75f1755aec50,889a75f1755aec50,psll,control,nominal_control,6,6,0.5234375,134,0.0,0.0,0.0,0.0,0,1,1,1,1,0,-4.415977478027344,-4.415977478027344,25.641170501708984,25.641170501708984,22.27587127685547,22.27587127685547,1.019274182245362,10.038206996735466,10.618737281073251,10.011904987335464,1,7
28,200009,gate15_psll_200009_889a75f1755aec50,889a75f1755aec50,psll,inside,gate15_psll_inside,6,6,0.5234375,134,0.12236239016056061,0.11074238270521164,0.0,0.3551107208412648,1,1,1,1,1,0,-4.415977478027344,-0.20995330810546875,25.641170501708984,25.641170501708984,22.27587127685547,21.14542007446289,1.0001617838012384,-1.9132418718940056,10.405442826516826,4.90380157465591,0,7
29,200009,gate15_psll_200009_889a75f1755aec50,889a75f1755aec50,psll,outside,gate15_psll_outside,6,6,0.5234375,134,0.12768249213695526,0.11555726081132889,0.0,0.3705503173995807,1,1,0,0,1,1,-4.415977478027344,0.13208770751953125,25.641170501708984,25.64117431640625,22.27587127685547,21.099735260009766,1.0001617838012384,-2.5973370808360134,10.385963445269722,4.632081683706725,0,7
30,200010,gate15_nearest_200010_77484a55d677c208,77484a55d677c208,nearest,control,nominal_control,0,4,0.4140625,106,0.0,0.0,0.0,0.0,0,1,1,1,1,0,-4.9608001708984375,-4.9608001708984375,28.173171997070312,28.173171997070312,23.924915313720703,23.924915313720703,0.6180056077586904,10.047525475756828,11.088844966647983,10.033091273154898,1,5
31,200010,gate15_nearest_200010_77484a55d677c208,77484a55d677c208,nearest,inside,gate15_nearest_inside,0,4,0.4140625,106,0.03949493542313576,0.07017546892166138,0.08499999999999999,0.0,2,1,1,1,1,0,-4.9608001708984375,-4.9815673828125,28.173171997070312,25.123291015625,23.924915313720703,21.07275390625,0.6178659862252116,9.925060408016359,11.094658656445093,9.023420655859644,0,5
32,200010,gate15_nearest_200010_77484a55d677c208,77484a55d677c208,nearest,outside,gate15_nearest_outside,0,4,0.4140625,106,0.0419633723795414,0.07456143200397491,0.08499999999999999,0.0,2,1,0,0,1,1,-4.9608001708984375,-4.982856750488281,28.173171997070312,24.30498504638672,23.924915313720703,20.819808959960938,0.6178659862252116,9.912188304054578,11.09487259462921,8.936059742238323,0,5
33,200011,gate15_nearest_200011_240d5ce75b5e4550,240d5ce75b5e4550,nearest,control,nominal_control,1,2,0.4140625,106,0.0,0.0,0.0,0.0,0,1,1,1,1,0,-9.8551025390625,-9.8551025390625,27.340553283691406,27.340553283691406,23.715835571289062,23.715835571289062,8.537736462515939e-07,10.065710953329045,11.336894630461662,10.026662350316036,1,3
34,200011,gate15_nearest_200011_240d5ce75b5e4550,240d5ce75b5e4550,nearest,inside,gate15_nearest_inside,1,2,0.4140625,106,0.0628524199128151,0.08581429719924927,0.095,0.0,2,1,1,1,1,0,-9.8551025390625,-9.863357543945312,27.340553283691406,25.3787841796875,23.715835571289062,21.748565673828125,0.012655727310652846,9.522642633741981,11.34573034150222,10.026662350316036,0,3
