trial,active_rl_min_db,total_rl_min_db,passive_rl_min_db,integrated_vs_target_max_abs_delta_s,joint_gate_pass
212,12.444136793324812,13.083902079702517,14.831079410709027,0.038357250586121355,1
213,12.420342692740869,13.095474061088805,14.735600811968544,0.038292448271420275,1
214,12.492305952855741,13.02830325482202,14.722640058474985,0.038653406158890284,1
215,12.474424535470757,13.041625818619995,14.776317614404906,0.03771123920046325,1
216,12.431479678219068,13.040797637051284,14.748707034036237,0.0412426969183722,1
217,12.566947269916328,13.048141754454363,14.804837240397537,0.0388905966556105,1
218,12.502989328290699,13.037361585788364,14.749822585133455,0.039466333896884864,1
219,12.549373983819766,13.059713282996313,14.750553091184928,0.039478624670130476,1
220,12.52710452126205,13.037934653657807,14.72670989211413,0.0394711222883409,1
221,12.51569395027017,13.063457552361424,14.807545267362345,0.03839240807158819,1
222,12.561695982387423,13.052381649727131,14.75227581055365,0.039469155885794686,1
223,12.499597734569557,13.058957973600062,14.816521096851375,0.04111372595985139,1
224,12.501596064783127,13.043741359074417,14.754275720912934,0.038579875033337756,1
225,12.457157868950056,13.075261913084846,14.813115489188629,0.037959261742865076,1
226,12.4519885992555,13.075848171551069,14.752598798602712,0.03863871307855035,1
227,12.38433856649165,13.079908319893757,14.727706539379462,0.039096487297434875,1
228,12.520504658064265,13.038827653446985,14.876667904810317,0.04022715702136305,1
229,12.351393066815731,13.099972769918928,14.68267397892819,0.03955706734386136,1
230,12.486046839865335,13.080617103189834,14.724621267078653,0.03869203113278234,1
231,12.554397901632328,13.09402093876216,14.759308307754255,0.03859364435248538,1
232,12.554882086327952,13.072096543201496,14.771992796036118,0.03776345007783394,1
233,12.553110709428019,13.069669002410642,14.803793415556365,0.04207732344292769,1
234,12.494812001415207,13.088363600302815,14.812708303037045,0.04105816118766232,1
235,12.559676712387034,13.032437540209498,14.770112817950407,0.03824673855656159,1
236,12.452170330238816,13.054624908648009,14.827816036700805,0.03715319135361019,1
237,12.558485472075972,13.051061519786469,14.748341529702536,0.03844206361653154,1
238,12.487761606954686,13.043786403800326,14.814959836401531,0.03877878960577602,1
239,12.415469291475658,13.057062206793598,14.65476629795286,0.03951689429840432,1
240,12.482673611950561,12.994656881723966,14.776594457870726,0.03833194366831811,1
241,12.398660598141609,13.058110096859615,14.731693230954853,0.0402183501911092,1
242,12.450191627777583,13.050326985021432,14.739784096780115,0.03917749290689143,1
243,12.530806251731372,13.014498172108,14.705314721482882,0.03979970339424765,1
244,12.406537153983713,13.037321927799855,14.89477142261113,0.04008446728435457,1
245,12.443021280316799,13.043249768519601,14.744727741510552,0.038170871908273785,1
246,12.286548846694886,13.091583254712258,14.68710031541002,0.03939123757843217,1
247,12.509388076387275,13.053115086581013,14.762245700163259,0.038342707652077736,1
248,12.511662193084144,13.03417549518791,14.78974802085862,0.03907368310459472,1
249,12.446050435778124,13.038635523288056,14.833167800170235,0.03989041793823388,1
250,12.54222291348448,13.062787907678155,14.790422486655094,0.03954302877967545,1
251,12.632224097174422,13.058582559426466,14.834656213074098,0.043700423603291426,1
252,12.469569823555176,13.065810617265294,14.716281296188402,0.03968661641854881,1
253,12.506499744035654,13.067810583755659,14.764277577540659,0.038919814958568104,1
254,12.521454667171984,13.050978699727647,14.846826937728803,0.03980437456550717,1
255,12.443416847541025,13.062389644162543,14.735908872939167,0.03879871553266954,1
256,12.599779192130185,13.058375672392764,14.856477679674686,0.038883459869182874,1
257,12.459268715563748,13.035918796284179,14.805123048953192,0.040006859214696114,1
258,12.527650485868595,13.07118308540932,14.855829387146429,0.03864564591741649,1
259,12.484532586212678,13.070286708171322,14.758960519541152,0.03949148585742323,1
260,12.52705824403636,13.037585355184696,14.716252249889878,0.03853609298700686,1
261,12.509971546093965,13.054242558152612,14.85849949268222,0.03894860977011641,1
262,12.461330503951046,13.097591764749229,14.727400296383477,0.03797255029878686,1
263,12.404465678133345,13.059687709775618,14.694300078680346,0.038982432447728504,1
264,12.448101075545647,13.062604145038112,14.721804466575188,0.04007746357571037,1
265,12.536874359374972,13.092963360260669,14.784916561741515,0.038908497579686514,1
266,12.479679197664947,13.030096525407322,14.724072917324246,0.04048827768570379,1
267,12.516000254824629,13.055628509792449,14.856344579300726,0.03782634812323899,1
268,12.594232787811801,13.106528001921847,14.782868975351715,0.03916989656645969,1
269,12.531815317940787,13.037457559428262,14.753665271189194,0.0405339008434676,1
270,12.580741038674706,13.061595441317513,14.811040102475575,0.03884930238960972,1
271,12.52260690642727,13.078341974460056,14.807182883886751,0.038606455993565485,1
272,12.475833062872448,13.068166714261988,14.761101182292242,0.041516050258759894,1
